03:01:41 | INFO     | Main              | === BIPD 시스템 로깅 시작 ===
03:01:41 | INFO     | Main              | 로그 파일: /Users/reo/Documents/Repositories/FinFlow/finflow-BIPD/bipd/logs/20250816_030141/bipd_training.log
03:01:41 | INFO     | Main              | 타임스탬프: 20250816_030141
03:01:41 | INFO     | Main              | ==================================================
03:01:41 | DEBUG    | Main              | ================================================================================
03:01:41 | DEBUG    | Main              | BIPD (Behavioral Immune Portfolio Defense) 시스템 시작
03:01:41 | DEBUG    | Main              | ================================================================================
03:01:41 | DEBUG    | Main              | 설정 요약:
03:01:41 | DEBUG    | Main              |   - 종목: ['MMM', 'AXP', 'AMGN', 'AMZN', 'AAPL', 'BA', 'CAT', 'CVX', 'CSCO', 'KO', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'MCD', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'CRM', 'SHW', 'TRV', 'UNH', 'VZ', 'V', 'WMT']
03:01:41 | DEBUG    | Main              |   - 훈련기간: 2008-01-01 ~ 2020-12-31
03:01:41 | DEBUG    | Main              |   - 테스트기간: 2021-01-01 ~ 2024-12-31
03:01:41 | DEBUG    | Main              |   - 에피소드: 1000개
03:01:41 | DEBUG    | Main              |   - 초기자본: 1,000,000원
03:01:41 | INFO     | DataLoader        | 캐시에서 데이터를 로드했습니다: MMM_AXP_AMGN_AMZN_AAPL_BA_CAT_CVX_CSCO_KO_DIS_GS_HD_HON_IBM_JNJ_JPM_MCD_MRK_MSFT_NKE_NVDA_PG_CRM_SHW_TRV_UNH_VZ_V_WMT_2008-01-01_2024-12-31.pkl
03:01:41 | INFO     | DataLoader        | 데이터 분할 완료: 훈련=3221일, 테스트=1004일
03:01:41 | DEBUG    | Main              | 데이터 로드 완료:
03:01:41 | DEBUG    | Main              |   - 훈련 데이터: 3221 거래일
03:01:41 | DEBUG    | Main              |   - 테스트 데이터: 1004 거래일
03:01:41 | DEBUG    | Main              |   - 종목 수: 30개
03:01:41 | INFO     | FeatureExtractor  | 특성 추출기가 초기화되었습니다. 윈도우=20
03:01:41 | INFO     | Environment       | 포트폴리오 환경이 초기화되었습니다. 자산수=30, 최대스텝=3200, 초기자본=1,000,000
03:01:41 | INFO     | Environment       | 포트폴리오 환경이 초기화되었습니다. 자산수=30, 최대스텝=983, 초기자본=1,000,000
03:01:41 | INFO     | TCell             | T-Cell이 초기화되었습니다. 오염율=0.1, 민감도=1.0
03:01:41 | INFO     | BCell-volatility  | volatility B-Cell이 초기화되었습니다. 상태차원=43, 행동차원=30
03:01:41 | INFO     | BCell-correlation | correlation B-Cell이 초기화되었습니다. 상태차원=43, 행동차원=30
03:01:41 | INFO     | BCell-momentum    | momentum B-Cell이 초기화되었습니다. 상태차원=43, 행동차원=30
03:01:41 | INFO     | BCell-defensive   | defensive B-Cell이 초기화되었습니다. 상태차원=43, 행동차원=30
03:01:41 | INFO     | BCell-growth      | growth B-Cell이 초기화되었습니다. 상태차원=43, 행동차원=30
